Dyad,Player,Round,Category,RegionCoded,RegionGo,Score,JointRegion
435-261,435-261PL2,10,RS,abcdijklqrstyABGIJOQRWY56,LEFT,27,RWY56
435-261,435-261PL2,11,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,14,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,15,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,17,LEFT,abcdeijklqrstyzABGHIJOPQRWXYZ4567,LEFT,31,e
435-261,435-261PL2,20,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,21,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,23,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,24,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,25,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,26,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,27,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,28,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,29,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,33,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,36,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,31,Y
435-261,435-261PL2,39,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,40,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,45,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,47,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,48,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,52,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,54,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,55,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,57,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,58,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,LEFT,32,
435-261,435-261PL2,59,LEFT,abcdijklqrstyzABGHIJOPQRWXYZ4567,,32,
